ifeng.com,123.103.122.24
skype.com,23.102.255.237
ameblo.jp,104.94.74.86
naver.com,125.209.222.142
flickr.com,143.204.30.100
mail.ru,94.100.180.200
amazon.co.jp,52.119.164.121
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,52.94.228.167
aol.com,188.125.72.165
amazon.com,176.32.98.166
wordpress.com,192.0.78.9
myspace.com,63.135.90.70
yahoo.co.jp,183.79.135.206
sohu.com,221.179.177.36
apple.com,17.142.160.59
hao123.com,39.156.68.154
windows.com,13.77.161.179
goo.ne.jp,153.254.147.65
pps.tv,101.227.188.174
xunlei.com,39.104.39.191
56.com,221.5.34.99
fc2.com,35.155.180.173
paypal.com,64.4.250.37
go.com,23.236.60.174
tmall.com,140.205.130.99
ku6.com,117.50.1.222
rakuten.co.jp,133.237.61.176
about.com,151.101.2.114
orkut.com.br,
facebook.com,31.13.93.35
youtube.com,172.217.2.14
cnet.com,64.30.228.118
live.com,204.79.197.212
wikipedia.org,208.80.153.224
msn.com,13.82.28.61
baidu.com,39.156.69.79
blogspot.com,172.217.1.201
yandex.ru,5.255.255.60
qq.com,111.161.64.48
paipai.com,
taobao.com,140.205.220.96
hotmail.com,204.79.197.212
bing.com,204.79.197.200
softonic.com,35.201.79.227
360.cn,36.110.213.49
sina.com.cn,123.126.55.41
nifty.com,222.158.213.148
craigslist.org,208.82.237.226
soso.com,118.191.216.57
imageshack.us,208.94.3.18
sogou.com,118.191.216.42
163.com,123.58.180.8
cnn.com,151.101.65.67
soku.com,106.11.186.25
ask.com,199.232.10.114
tianya.cn,124.225.65.154
alibaba.com,205.204.101.142
adobe.com,192.147.130.204
yahoo.com,98.137.246.8
megaupload.com,
twitter.com,104.244.42.193
zynga.com,143.204.29.4
renren.com,120.133.2.243
mozilla.com,63.245.208.194
microsoft.com,40.112.72.205
livedoor.jp,203.104.153.16
youku.com,106.11.186.1
hp.com,15.72.164.74
blogger.com,172.217.2.9
sdjjdsaf.com,
walmart.com,161.170.232.170
vkontakte.ru,87.240.190.67
andysayler.com,138.197.228.157
kugou.com,183.131.48.92
answers.com,151.101.64.203
wmfo.org,23.92.21.128
ebay.de,66.135.196.249
weather.com,23.208.156.177
youdao.com,61.135.218.27
daum.net,203.133.167.81
hotfile.com,18.207.9.28
7k7k.com,106.75.22.155
qiyi.com,101.227.188.170
2345.com,42.62.30.180
pconline.com.cn,219.136.244.85
mywebsearch.com,74.113.237.222
odnoklassniki.ru,5.61.23.11
mediafire.com,104.19.195.29
jp.msn.com,13.88.15.24
ehow.com,23.227.13.162
seesaa.net,13.33.252.215
partypoker.com,195.72.135.96
tudou.com,106.11.47.19
4shared.com,204.155.149.42
photobucket.com,209.17.68.100
rapidshare.com,0.0.0.0
4399.com,118.184.184.70
orkut.com,216.239.38.21
ebay.com,66.135.196.249
bbc.co.uk,151.101.192.81
